user_language,q11_1,q11_2,q11_3,q11_4,q12,q13_1_1,q13_2_1,q13_3_1,q13_4_1,q13_5_1,q13_6_1,q13_7_1,q13_8_1,q14_1,q14_2,q14_3,q14_4,q14_5,q15_1,q15_2,q15_3,q15_4,q16_1,q16_2,q16_3,q16_4,q17_1,q17_2,q17_3,q66,q10_1,q10_2,q10_3,q18,q19,q20,q67,q68_1,q68_2,q70,q93,q69,q71,q73,q22,q23,q74_1,q74_2,q76_1,q76_2,q80_1,q80_2,q80_3,q80_4,q81_1,q81_2,q81_3,q81_4,list_experiment,q26,q27_1,q27_2,q27_3,q97_1,q97_2,q92,q94,q108,q105,border_outcome,traits1a,traits1b,traits2a,traits2b,traits3a,traits3b,traits4a,traits4b,fl_15_do,sample,q3,q8,q8_15_text,q5,q9,q9_24_text,q126,q129,traits5a,traits5b,traits6a,traits6b,border_gamble,border_treat,border_loss,border_ethnic,border_resource
EN,A few times a week,Every day,Every day,Every day,Less than once a month,0,0,0,0,2,3,9,0,Sometimes,Never,Never,Never,Sometimes,Not a member,Prefer not to say,Inactive member,Not a member,Not likely,Very likely,NA,Very likely,10,10,10,I haven't participated but I wanna to participate in the future,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree strongly with A,Agree,Agree,Frequently,NA,A moderate amount,Not at all,I agree strongly with A,I agree with B,I agree with A,Never,Never,Strongly like,Would not care,Sometimes,Rarely,Rarely,Very frequently,Some,Some,A lot,Just a little,2,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",No,No,Government A,Government B,Plan A,Plan A,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|No|Yes|Yes|Yes, United Nations|No|None|Appointed by a panel of leaders from all major political parties","Yes|No|Yes|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties","No|Yes|Yes|No|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups","No|Yes|No|No|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain,0,FALSE,FALSE
EN,Never,A few times a week,Never,Every day,Every day,0,6,0,4,2,0,0,1,Always,Never,Never,Never,Never,Active member,Official leader,Not a member,Inactive member,NA,NA,Not at all,NA,0,0,10,"I’m part of ‘FANO’ .if you don’t know fano just google it,  and if someone  want to destroy world specially Ethiopia first fight with us",1,3,2,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with A,Strongly agree,Agree,Never,Always,Always,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with A,Always,Never,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Sometimes,Just a little,A lot,Some,Just a little,0,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind",No,No,Government B,Government A,Plan B,Plan A,Option 2,"Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","No|No|No|No|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties","Yes|No|Yes|No|Yes, African Union|Yes|None|Appointed by a panel of leaders from all major ethnic groups",Yes|Yes|Yes|Yes|No|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups,No|No|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a month,Less than once a month,Never,Every day,Never,0,0,1,0,0,0,0,0,Often,Sometimes,Sometimes,Often,Sometimes,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,NA,10,10,NA,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,NA,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,A lot,A lot,A lot,A lot,1,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,No,Government A,Government A,Plan B,Plan B,Option 1,"Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|No|Yes|No|Yes|None|Appointed by a panel of leaders from all major ethnic groups,"No|No|Yes|No|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","No|Yes|Yes|No|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission",Yes|Yes|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-gain,0,FALSE,FALSE
EN,Never,Never,Never,Every day,Never,NA,NA,NA,NA,NA,NA,NA,NA,Always,Never,Never,Always,Always,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,0,0,0,NA,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,Strongly disagree,Strongly disagree,Always,Never,Not at all,A moderate amount,I agree with B,I agree with B,I agree strongly with B,Never,NA,Strongly dislike,Strongly dislike,Very frequently,Very frequently,Very frequently,Very frequently,Some,Just a little,Some,A lot,2,I don't know yet,"Yes, it has crossed my mind","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,No,Government B,Government B,Plan B,Plan B,Option 1,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|No|Yes|No|Yes, United Nations|No|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties",No|Yes|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,Yes|Yes|No|No|No|Yes|None|Appointed by Dialogue Commission,"No|No|No|Yes|Yes, African Union|No|None|Appointed by Dialogue Commission",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a week,Every day,Every day,A few times a week,Never,1,0,0,1,3,1,0,0,Often,Sometimes,Sometimes,Sometimes,Often,Not a member,Inactive member,Not a member,Not a member,Not likely,NA,Somewhat likely,Very likely,7,4,6,"I am currently participating in group discussions that initiate possible solutions to different problems of our country. As a group we use our varied knowledges to discuss important legal, cultural and economic issues in our environment.",3,2,1,Strongly agree,I agree with B,I agree with B,I agree with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with B,Frequently,Frequently,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Sometimes,Some,Some,Some,Some,1,"Public sector or civil service (ex. public university, government ministry)","Yes, it has crossed my mind","No, I have not thought about it","No, I have not thought about it",No,No,Government A,Government A,Plan B,Plan A,Option 2,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",Yes|Yes|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,"Yes|No|Yes|Yes|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","Yes|No|No|No|Yes, African Union|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","Yes|Yes|No|No|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a week,Every day,A few times a month,Every day,Never,0,0,0,0,0,1,0,1,Sometimes,Often,Sometimes,Sometimes,Often,Inactive member,Not a member,Not a member,Not a member,NA,Not at all,Not likely,Somewhat likely,5,9,8,NA,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree with B,Strongly disagree,Disagree,Never,NA,Not at all,Not at all,I agree with A,I agree strongly with A,I agree with B,NA,NA,Would not care,Would not care,Very frequently,Sometimes,Sometimes,Sometimes,A lot,A lot,A lot,A lot,1,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",No,No,Government B,Government B,Plan B,Plan A,Option 1,"Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|No|Yes|Yes|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups",Yes|Yes|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,Yes|Yes|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,Yes|No|Yes|Yes|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss,1,FALSE,FALSE
EN,Never,Less than once a month,A few times a week,Every day,Never,0,0,2,0,0,0,0,2,Never,Never,Sometimes,Always,Often,Official leader,Not a member,Not a member,Inactive member,NA,Not at all,Not at all,NA,1,8,3,I haven't participated in said events at all,1,2,3,Somewhat disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Agree,Agree,Never,Never,A little,A little,I agree with A,I agree with A,I agree strongly with B,NA,NA,Would not care,Would not care,Very frequently,Sometimes,Never,Sometimes,Some,Some,Some,Some,2,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",Yes,Yes,Government A,Government B,Plan B,Plan A,Option 1,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Yes|No|Yes|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties","Yes|Yes|Yes|Yes|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission",Yes|Yes|No|No|No|No|None|Appointed by Dialogue Commission,"Yes|No|No|Yes|Yes, United Nations|Yes|None|Appointed by Dialogue Commission",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss,1,FALSE,FALSE
EN,A few times a month,Less than once a month,Never,Every day,Never,0,0,0,0,0,3,0,1,Often,Sometimes,Sometimes,Never,Often,Active member,Not a member,Not a member,Inactive member,NA,Somewhat likely,Not at all,NA,0,8,10,"As student council member in our college, I motivated other students to gave away their extra clothes for those who are in need.",1,3,2,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree with A,Frequently,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,A lot,A lot,A lot,A lot,2,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government B,Government B,Plan A,Plan B,Option 1,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Yes|No|Yes|No|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major political parties","Yes|Yes|No|Yes|Yes, United Nations|No|None|Appointed by a panel of leaders from all major ethnic groups",Yes|Yes|Yes|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,Yes|No|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
AFAN_OROMO,A few times a week,A few times a month,Less than once a month,Every day,Never,2,0,5,0,0,4,3,0,Often,Never,Sometimes,Never,Sometimes,Prefer not to say,Not a member,Not a member,Not a member,NA,NA,NA,NA,0,10,10,hojii hawaasa gargaruu keessatti,1,2,3,Strongly disagree,I agree with B,I agree with B,I agree with B,Strongly disagree,Strongly disagree,Always,Always,A lot,A lot,I agree strongly with A,I agree strongly with A,I agree strongly with A,Frequently,Never,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,Some,A lot,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,No,Government A,Government B,Plan A,Plan B,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",No|Yes|No|No|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,No|No|Yes|Yes|No|Yes|None|Appointed by Dialogue Commission,Yes|Yes|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,Yes|Yes|No|Yes|No|Yes|None|Appointed by a panel of leaders from all major political parties,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a week,A few times a week,Never,Every day,A few times a month,3,0,0,0,0,0,0,2,Often,Never,Sometimes,Often,Often,Active member,Not a member,Not a member,Official leader,NA,Not at all,Not at all,NA,8,9,9,since am officer of EPSA I prepare my self to conduct different training to assure public health,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Disagree,Agree,Never,Never,Not at all,A little,I agree strongly with A,I agree strongly with B,I agree strongly with B,NA,NA,Strongly like,Strongly like,Very frequently,Very frequently,Sometimes,Sometimes,A lot,A lot,Some,Some,2,Business sector (private for-profit companies),"No, I have not thought about it","No, I have not thought about it","Yes, it has crossed my mind",Yes,Yes,Government B,Government B,Plan B,Plan A,Option 1,"Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","No|No|Yes|No|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","No|No|Yes|No|Yes, African Union|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission","Yes|Yes|No|Yes|Yes, African Union|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups","Yes|No|No|No|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-coethnic,1,TRUE,FALSE
EN,A few times a week,Every day,Never,Every day,Never,1,0,0,0,0,0,0,1,Sometimes,Never,Sometimes,Often,Sometimes,Prefer not to say,Not a member,Not a member,Inactive member,Not likely,Not at all,Not at all,NA,4,7,7,I have participated in summer voluntary service by planting trees in my home town.,1,2,3,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree with B,Disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree strongly with A,I agree strongly with B,NA,NA,Strongly like,Strongly like,Very frequently,Sometimes,Never,Never,A lot,A lot,Not at all,Some,2,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",Yes,Yes,Government A,Government B,Plan A,Plan A,Option 2,"Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|Yes|No|No|No|Yes|None|Appointed by Dialogue Commission,No|No|No|No|No|Yes|None|Appointed by Dialogue Commission,Yes|No|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,No|No|No|Yes|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain-resource,0,FALSE,TRUE
EN,Every day,Less than once a month,Never,Every day,Never,0,2,30,3,0,0,0,30,Sometimes,Never,Always,Sometimes,Often,Active member,Not a member,Not a member,Official leader,NA,Not at all,Not at all,NA,8,3,5,"I took part in organizing and conducting trainings that enhance the self-awareness, character and motivation of the youth to become positive contributors in their community. I also participated in events that bring awareness about the various problems in our city.",2,3,1,Strongly disagree,I agree strongly with B,I agree strongly with B,I agree strongly with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree strongly with B,NA,NA,Would not care,Would not care,Very frequently,Very frequently,Very frequently,Very frequently,A lot,A lot,A lot,A lot,2,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",Yes,Yes,Government B,Government B,Plan A,Plan A,Option 2,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Yes|Yes|No|Yes|Yes, United Nations|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties",Yes|No|No|Yes|No|No|None|Appointed by a panel of leaders from all major ethnic groups,"Yes|Yes|Yes|No|Yes, African Union|No|None|Appointed by a panel of leaders from all major political parties","No|Yes|No|Yes|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-gain-resource,0,FALSE,TRUE
AMH,A few times a week,A few times a week,Never,A few times a week,Never,0,0,0,1,1,5,0,2,Sometimes,Sometimes,Often,Sometimes,Sometimes,Prefer not to say,Not a member,Not a member,Not a member,NA,NA,NA,NA,3,7,7,NA,1,2,3,Somewhat disagree,I agree with B,I agree strongly with B,I agree with B,Strongly disagree,Strongly disagree,Never,Never,Not at all,Not at all,I agree with A,I agree with A,I agree with B,NA,NA,Somewhat like,Would not care,Sometimes,Sometimes,Rarely,Rarely,Some,Some,Some,Some,2,I don't know yet,"No, I have not thought about it","Yes, it has crossed my mind","Yes, it has crossed my mind",No,Yes,Government A,Government A,Plan A,Plan B,,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area",Yes|Yes|Yes|No|No|No|Final agreement must pass a national referendum|Appointed by Dialogue Commission,No|Yes|No|Yes|No|No|None|Appointed by a panel of leaders from all major political parties,Yes|Yes|Yes|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,"Yes|Yes|Yes|No|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by Dialogue Commission",FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss,1,FALSE,FALSE
EN,A few times a month,NA,NA,NA,Never,0,0,0,0,0,0,0,0,Often,Always,Often,Always,Always,Not a member,Not a member,Not a member,Not a member,NA,NA,NA,NA,2,9,1,I haven't participated in any civic or political activities.,1,2,3,Somewhat disagree,I agree with B,I agree with B,I agree with B,Disagree,Disagree,Never,Never,Not at all,Not at all,I agree strongly with A,I agree with A,I agree with B,Never,Never,Would not care,Would not care,Rarely,Rarely,Never,Never,Just a little,Just a little,Just a little,Just a little,2,I don't know yet,"No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",No,Yes,Government B,Government B,Plan A,Plan B,Option 2,"Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Central government hires all civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to geography","No|Yes|No|Yes|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups","Yes|No|No|No|Yes, United Nations|Yes|None|Appointed by Dialogue Commission","No|No|No|No|Yes, United Nations|Yes|None|Appointed by a panel of leaders from all major political parties","No|No|Yes|No|Yes, United Nations|Yes|Final agreement must pass a national referendum|Appointed by a panel of leaders from all major ethnic groups",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-resource,1,FALSE,TRUE
AMH,A few times a month,A few times a month,A few times a week,Every day,A few times a month,0,1,0,0,0,0,0,0,Never,Sometimes,Always,Never,Never,Prefer not to say,Inactive member,Not a member,Not a member,Somewhat likely,NA,Somewhat likely,Very likely,0,0,4,I participated in the election process by creating awareness in the community that i was.,1,2,3,Strongly disagree,I agree with B,I agree strongly with B,I agree strongly with B,Disagree,Disagree,Never,Never,A moderate amount,A little,I agree strongly with A,I agree strongly with A,I agree strongly with B,Frequently,NA,Would not care,Would not care,Very frequently,Very frequently,Never,Very frequently,Some,Some,Some,Some,2,"Public sector or civil service (ex. public university, government ministry)","No, I have not thought about it","No, I have not thought about it","No, I have not thought about it",Yes,No,Government B,Government B,Plan A,Plan A,Option 1,"Central government hires all civil servants|Each state has own police force|Each state decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to majority ethnic group in the area","Each state hires own civil servants|One national police force|Each state decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography",Yes|Yes|No|No|No|No|None|Appointed by Dialogue Commission,"No|No|Yes|Yes|Yes, United Nations|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties","Yes|Yes|No|Yes|Yes, United Nations|Yes|None|Appointed by Dialogue Commission","No|No|No|Yes|Yes, United Nations|No|None|Appointed by Dialogue Commission",FL_18,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,borders-loss-resource,1,FALSE,TRUE
EN,A few times a week,A few times a week,A few times a week,Every day,Less than once a month,0,0,0,0,0,0,0,0,Never,Never,Sometimes,Often,Often,Inactive member,Not a member,Not a member,Not a member,NA,Not likely,Not likely,Not likely,4,8,7,Haven't participated.,1,3,2,Strongly disagree,I agree with B,I agree with B,I agree strongly with B,Strongly disagree,Strongly agree,Never,Never,Not at all,Not at all,I agree with A,I agree strongly with A,I agree strongly with B,Frequently,NA,Would not care,Somewhat dislike,Very frequently,Sometimes,Very frequently,Very frequently,A lot,A lot,A lot,A lot,2,Business sector (private for-profit companies),"No, I have not thought about it","Yes, it has crossed my mind","No, I have not thought about it",No,Yes,Government A,Government B,Plan A,Plan B,Option 2,"Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|One national police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Each state hires own civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography","Central government hires all civil servants|Each state has own police force|The central government decides official language, teaching of history|State borders are drawn according to geography",No|Yes|No|Yes|No|Yes|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major political parties,"No|No|No|No|Yes, African Union|No|None|Appointed by a panel of leaders from all major political parties",Yes|No|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by a panel of leaders from all major ethnic groups,No|Yes|No|No|No|No|Representatives are required to meet regularly with constituents|Appointed by Dialogue Commission,FL_17,endline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,borders-loss-resource,1,FALSE,TRUE
